date,sector_index,close
2019-12-01,IBOV,115645.34
2020-01-01,IBOV,113760.57
2020-02-01,IBOV,104171.57
2020-03-01,IBOV,73019.76
2020-04-01,IBOV,80505.89
2020-05-01,IBOV,87402.59
2020-06-01,IBOV,95055.82
2020-07-01,IBOV,102912.23999999999
2020-08-01,IBOV,99369.15000000001
2020-09-01,IBOV,94603.38
2020-10-01,IBOV,93952.4
2020-11-01,IBOV,108893.32
2020-12-01,IBOV,119017.23999999999
2021-01-01,IBOV,115067.55
2021-02-01,IBOV,110035.17000000001
2021-03-01,IBOV,116633.72
2021-04-01,IBOV,118893.84
2021-05-01,IBOV,126215.73
2021-06-01,IBOV,126801.66
2021-07-01,IBOV,121800.79
2021-08-01,IBOV,118781.03
2021-09-01,IBOV,110979.1
2021-10-01,IBOV,103500.70999999999
2021-11-01,IBOV,101915.45
2021-12-01,IBOV,104822.43999999999
2022-01-01,IBOV,112143.51
2022-02-01,IBOV,113141.93999999999
2022-03-01,IBOV,119999.23
2022-04-01,IBOV,107876.16
2022-05-01,IBOV,111350.51
2022-06-01,IBOV,98541.95
2022-07-01,IBOV,103164.69
2022-08-01,IBOV,109522.88
2022-09-01,IBOV,110036.79
2022-10-01,IBOV,116037.08
2022-11-01,IBOV,112486.01
2022-12-01,IBOV,109734.6
2023-01-01,IBOV,113430.54
2023-02-01,IBOV,104931.93
2023-03-01,IBOV,101882.2
2023-04-01,IBOV,104431.63
2023-05-01,IBOV,108335.07
2023-06-01,IBOV,118087
2023-07-01,IBOV,121942.98
2023-08-01,IBOV,115741.81
2023-09-01,IBOV,116565.17000000001
2023-10-01,IBOV,113143.67000000001
2023-11-01,IBOV,127331.12000000001
2023-12-01,IBOV,134185.24000000002
2024-01-01,IBOV,127752.28
2024-02-01,IBOV,129020.02
2024-03-01,IBOV,128106.1
2024-04-01,IBOV,125924.19
2024-05-01,IBOV,122098.09
2024-06-01,IBOV,123906.55
2024-07-01,IBOV,127651.81
2024-08-01,IBOV,136004.01
2024-09-01,IBOV,131816.44
2024-10-01,IBOV,129713.33
2024-11-01,IBOV,125667.83
2024-12-01,IBOV,120283.4
2019-12-01,ICON,5278.33
2020-01-01,ICON,5471.42
2020-02-01,ICON,4924.48
2020-03-01,ICON,3372.66
2020-04-01,ICON,3968.63
2020-05-01,ICON,4272.4
2020-06-01,ICON,4703.23
2020-07-01,ICON,5061.51
2020-08-01,ICON,4986.610000000001
2020-09-01,ICON,4789.320000000001
2020-10-01,ICON,4652.51
2020-11-01,ICON,5068.06
2020-12-01,ICON,5321.24
2021-01-01,ICON,5252.96
2021-02-01,ICON,4975.120000000001
2021-03-01,ICON,5090.55
2021-04-01,ICON,5129.04
2021-05-01,ICON,5463.02
2021-06-01,ICON,5497.85
2021-07-01,ICON,5210.6
2021-08-01,ICON,5007.44
2021-09-01,ICON,4709.56
2021-10-01,ICON,4251.429999999999
2021-11-01,ICON,3932.7
